mbin,histogram
3.5250,0.0000
3.5750,0.0000
3.6250,0.0014
3.6750,0.1380
3.7250,0.8703
3.7750,2.0612
3.8250,2.6089
3.8750,2.5382
3.9250,1.9877
3.9750,1.5203
4.0250,1.1984
4.0750,0.9822
4.1250,0.7619
4.1750,0.6520
4.2250,0.5004
4.2750,0.4654
4.3250,0.3638
4.3750,0.3096
4.4250,0.2979
4.4750,0.2485
4.5250,0.2739
4.5750,0.2409
4.6250,0.2176
4.6750,0.1723
4.7250,0.1599
4.7750,0.1249
4.8250,0.1242
4.8750,0.1201
4.9250,0.1057
4.9750,0.0817
5.0250,0.0604
5.0750,0.0693
5.1250,0.0625
5.1750,0.0645
5.2250,0.0542
5.2750,0.0357
5.3250,0.0487
5.3750,0.0371
5.4250,0.0316
5.4750,0.0261
5.5250,0.0254
5.5750,0.0254
5.6250,0.0309
5.6750,0.0185
5.7250,0.0206
5.7750,0.0192
5.8250,0.0117
5.8750,0.0213
5.9250,0.0117
5.9750,0.0165
6.0250,0.0110
6.0750,0.0158
6.1250,0.0082
6.1750,0.0103
6.2250,0.0117
6.2750,0.0076
6.3250,0.0096
6.3750,0.0055
6.4250,0.0048
6.4750,0.0055
6.5250,0.0055
6.5750,0.0055
6.6250,0.0027
6.6750,0.0076
6.7250,0.0034
6.7750,0.0055
6.8250,0.0027
6.8750,0.0041
6.9250,0.0021
6.9750,0.0027
7.0250,0.0014
7.0750,0.0034
7.1250,0.0000
7.1750,0.0027
7.2250,0.0014
7.2750,0.0062
7.3250,0.0014
7.3750,0.0021
7.4250,0.0000
7.4750,0.0041
7.5250,0.0014
7.5750,0.0000
7.6250,0.0000
7.6750,0.0021
7.7250,0.0007
7.7750,0.0021
7.8250,0.0007
7.8750,0.0021
7.9250,0.0007
7.9750,0.0000
8.0250,0.0007
8.0750,0.0014
8.1250,0.0000
8.1750,0.0007
8.2250,0.0007
8.2750,0.0007
8.3250,0.0007
8.3750,0.0000
8.4250,0.0000
8.4750,0.0000
8.5250,0.0021
8.5750,0.0000
8.6250,0.0007
8.6750,0.0007
8.7250,0.0007
8.7750,0.0000
8.8250,0.0000
8.8750,0.0007
8.9250,0.0000
8.9750,0.0014
9.0250,0.0000
9.0750,0.0007
9.1250,0.0000
9.1750,0.0000
9.2250,0.0007
9.2750,0.0000
9.3250,0.0000
9.3750,0.0014
9.4250,0.0000
9.4750,0.0000
9.5250,0.0007
9.5750,0.0000
9.6250,0.0000
9.6750,0.0000
9.7250,0.0000
9.7750,0.0000
9.8250,0.0000
9.8750,0.0000
9.9250,0.0000
9.9750,0.0000
10.0250,0.0000
10.0750,0.0000
10.1250,0.0000
10.1750,0.0007
10.2250,0.0000
10.2750,0.0000
10.3250,0.0000
10.3750,0.0000
10.4250,0.0000
10.4750,0.0000
10.5250,0.0000
10.5750,0.0000
10.6250,0.0000
10.6750,0.0000
10.7250,0.0000
10.7750,0.0000
10.8250,0.0000
10.8750,0.0000
10.9250,0.0000
10.9750,0.0000
11.0250,0.0000
11.0750,0.0000
11.1250,0.0000
11.1750,0.0000
11.2250,0.0000
11.2750,0.0000
11.3250,0.0000
11.3750,0.0000
11.4250,0.0000
11.4750,0.0000
11.5250,0.0000
11.5750,0.0000
11.6250,0.0000
11.6750,0.0007
11.7250,0.0000
11.7750,0.0000
11.8250,0.0000
11.8750,0.0007
11.9250,0.0000
11.9750,0.0000
12.0250,0.0000
12.0750,0.0000
12.1250,0.0000
12.1750,0.0000
12.2250,0.0000
12.2750,0.0000
12.3250,0.0000
12.3750,0.0000
12.4250,0.0000
12.4750,0.0000
12.5250,0.0000
12.5750,0.0000
12.6250,0.0007
12.6750,0.0000
12.7250,0.0000
12.7750,0.0000
12.8250,0.0000
12.8750,0.0000
12.9250,0.0000
12.9750,0.0000
13.0250,0.0000
13.0750,0.0000
13.1250,0.0007
13.1750,0.0000
13.2250,0.0000
13.2750,0.0000
13.3250,0.0000
13.3750,0.0000
13.4250,0.0000
13.4750,0.0000
13.5250,0.0000
13.5750,0.0000
13.6250,0.0000
13.6750,0.0000
13.7250,0.0000
13.7750,0.0000
13.8250,0.0000
13.8750,0.0000
13.9250,0.0000
13.9750,0.0000
