p2dbin,hist
3.5125,0.0000
3.5375,0.0000
3.5625,0.0000
3.5875,0.0000
3.6125,0.0000
3.6375,0.0067
3.6625,0.0877
3.6875,0.3980
3.7125,1.1637
3.7375,2.2617
3.7625,3.2416
3.7875,3.6784
3.8125,3.5738
3.8375,3.3866
3.8625,2.8705
3.8875,2.1166
3.9125,1.6764
3.9375,1.3223
3.9625,1.1199
3.9875,0.9158
4.0125,0.8416
4.0375,0.7505
4.0625,0.7117
4.0875,0.6291
4.1125,0.6223
4.1375,0.5279
4.1625,0.4958
4.1875,0.4200
4.2125,0.3694
4.2375,0.3255
4.2625,0.3390
4.2875,0.2665
4.3125,0.2648
4.3375,0.2479
4.3625,0.2311
4.3875,0.1923
4.4125,0.2260
4.4375,0.2024
4.4625,0.2159
4.4875,0.2024
4.5125,0.1838
4.5375,0.1838
4.5625,0.1872
4.5875,0.2125
4.6125,0.1771
4.6375,0.1383
4.6625,0.1484
4.6875,0.1501
4.7125,0.1366
4.7375,0.1197
4.7625,0.1079
4.7875,0.0860
4.8125,0.0911
4.8375,0.1299
4.8625,0.0911
4.8875,0.0928
4.9125,0.0961
4.9375,0.0759
4.9625,0.0911
4.9875,0.0540
5.0125,0.0658
5.0375,0.0708
5.0625,0.0590
5.0875,0.0506
5.1125,0.0489
5.1375,0.0489
5.1625,0.0590
5.1875,0.0489
5.2125,0.0422
5.2375,0.0354
5.2625,0.0573
5.2875,0.0405
5.3125,0.0439
5.3375,0.0219
5.3625,0.0270
5.3875,0.0169
5.4125,0.0270
5.4375,0.0202
5.4625,0.0236
5.4875,0.0219
5.5125,0.0287
5.5375,0.0169
5.5625,0.0337
5.5875,0.0202
5.6125,0.0236
5.6375,0.0236
5.6625,0.0202
5.6875,0.0287
5.7125,0.0118
5.7375,0.0067
5.7625,0.0253
5.7875,0.0287
5.8125,0.0135
5.8375,0.0202
5.8625,0.0084
5.8875,0.0084
5.9125,0.0118
5.9375,0.0186
5.9625,0.0084
5.9875,0.0152
6.0125,0.0067
6.0375,0.0084
6.0625,0.0034
6.0875,0.0051
6.1125,0.0051
6.1375,0.0152
6.1625,0.0186
6.1875,0.0118
6.2125,0.0118
6.2375,0.0135
6.2625,0.0067
6.2875,0.0084
6.3125,0.0084
6.3375,0.0101
6.3625,0.0118
6.3875,0.0051
6.4125,0.0067
6.4375,0.0034
6.4625,0.0017
6.4875,0.0051
6.5125,0.0017
6.5375,0.0051
6.5625,0.0051
6.5875,0.0017
6.6125,0.0017
6.6375,0.0034
6.6625,0.0067
6.6875,0.0067
6.7125,0.0067
6.7375,0.0051
6.7625,0.0051
6.7875,0.0067
6.8125,0.0017
6.8375,0.0000
6.8625,0.0017
6.8875,0.0034
6.9125,0.0034
6.9375,0.0017
6.9625,0.0034
6.9875,0.0017
7.0125,0.0017
7.0375,0.0034
7.0625,0.0051
7.0875,0.0034
7.1125,0.0017
7.1375,0.0017
7.1625,0.0017
7.1875,0.0000
7.2125,0.0000
7.2375,0.0017
7.2625,0.0017
7.2875,0.0017
7.3125,0.0051
7.3375,0.0034
7.3625,0.0034
7.3875,0.0017
7.4125,0.0000
7.4375,0.0000
7.4625,0.0017
7.4875,0.0017
7.5125,0.0034
7.5375,0.0017
7.5625,0.0000
7.5875,0.0017
