p2dbin,histogram
3.5250,0.0000
3.5750,0.0000
3.6250,0.0017
3.6750,0.1769
3.7250,1.2154
3.7750,2.7879
3.8250,3.2501
3.8750,2.6753
3.9250,1.8444
3.9750,1.2438
4.0250,0.9702
4.0750,0.7716
4.1250,0.6181
4.1750,0.4855
4.2250,0.4396
4.2750,0.3670
4.3250,0.3036
4.3750,0.2444
4.4250,0.2144
4.4750,0.2102
4.5250,0.2219
4.5750,0.1994
4.6250,0.1510
4.6750,0.1393
4.7250,0.1393
4.7750,0.1151
4.8250,0.1185
4.8750,0.1018
4.9250,0.0893
4.9750,0.0717
5.0250,0.0717
5.0750,0.0634
5.1250,0.0484
5.1750,0.0592
5.2250,0.0475
5.2750,0.0450
5.3250,0.0509
5.3750,0.0325
5.4250,0.0284
5.4750,0.0267
5.5250,0.0284
5.5750,0.0250
5.6250,0.0167
5.6750,0.0192
5.7250,0.0175
5.7750,0.0184
5.8250,0.0167
5.8750,0.0117
5.9250,0.0142
5.9750,0.0108
6.0250,0.0125
6.0750,0.0108
6.1250,0.0108
6.1750,0.0142
6.2250,0.0092
6.2750,0.0067
6.3250,0.0075
6.3750,0.0075
6.4250,0.0058
6.4750,0.0058
6.5250,0.0050
6.5750,0.0042
6.6250,0.0042
6.6750,0.0067
6.7250,0.0017
6.7750,0.0025
6.8250,0.0033
6.8750,0.0042
6.9250,0.0050
6.9750,0.0000
7.0250,0.0025
7.0750,0.0025
7.1250,0.0025
7.1750,0.0008
7.2250,0.0033
7.2750,0.0017
7.3250,0.0017
7.3750,0.0042
7.4250,0.0008
7.4750,0.0025
7.5250,0.0008
7.5750,0.0017
7.6250,0.0017
7.6750,0.0008
7.7250,0.0008
7.7750,0.0000
7.8250,0.0008
7.8750,0.0000
7.9250,0.0008
7.9750,0.0008
8.0250,0.0008
8.0750,0.0008
8.1250,0.0017
8.1750,0.0000
8.2250,0.0000
8.2750,0.0017
8.3250,0.0017
8.3750,0.0000
8.4250,0.0000
8.4750,0.0008
8.5250,0.0000
8.5750,0.0000
8.6250,0.0000
8.6750,0.0000
8.7250,0.0000
8.7750,0.0008
8.8250,0.0008
8.8750,0.0000
8.9250,0.0008
8.9750,0.0008
9.0250,0.0000
9.0750,0.0008
9.1250,0.0000
9.1750,0.0008
9.2250,0.0000
9.2750,0.0000
9.3250,0.0008
9.3750,0.0008
9.4250,0.0000
9.4750,0.0000
9.5250,0.0000
9.5750,0.0000
9.6250,0.0000
9.6750,0.0008
9.7250,0.0000
9.7750,0.0008
9.8250,0.0008
9.8750,0.0008
9.9250,0.0000
9.9750,0.0000
10.0250,0.0000
10.0750,0.0000
10.1250,0.0000
10.1750,0.0000
10.2250,0.0000
10.2750,0.0000
10.3250,0.0008
10.3750,0.0000
10.4250,0.0000
10.4750,0.0000
10.5250,0.0000
10.5750,0.0008
10.6250,0.0000
10.6750,0.0000
10.7250,0.0000
10.7750,0.0000
10.8250,0.0000
10.8750,0.0000
10.9250,0.0000
10.9750,0.0000
11.0250,0.0000
11.0750,0.0000
11.1250,0.0000
11.1750,0.0000
11.2250,0.0000
11.2750,0.0008
11.3250,0.0008
11.3750,0.0000
11.4250,0.0000
11.4750,0.0000
11.5250,0.0000
11.5750,0.0000
11.6250,0.0000
11.6750,0.0000
11.7250,0.0000
11.7750,0.0000
11.8250,0.0000
11.8750,0.0000
11.9250,0.0000
11.9750,0.0000
12.0250,0.0000
12.0750,0.0000
12.1250,0.0000
12.1750,0.0000
12.2250,0.0000
12.2750,0.0000
12.3250,0.0008
12.3750,0.0000
12.4250,0.0000
12.4750,0.0000
12.5250,0.0000
12.5750,0.0000
12.6250,0.0000
12.6750,0.0000
12.7250,0.0000
12.7750,0.0000
12.8250,0.0000
12.8750,0.0000
12.9250,0.0000
12.9750,0.0000
13.0250,0.0000
13.0750,0.0000
13.1250,0.0000
13.1750,0.0000
13.2250,0.0000
13.2750,0.0000
13.3250,0.0000
13.3750,0.0000
13.4250,0.0000
13.4750,0.0000
13.5250,0.0000
13.5750,0.0000
13.6250,0.0000
13.6750,0.0000
13.7250,0.0000
13.7750,0.0000
13.8250,0.0000
13.8750,0.0000
13.9250,0.0000
13.9750,0.0000
