p2dbin,histogram
3.5250,0.0000
3.5750,0.0000
3.6250,0.0025
3.6750,0.0566
3.7250,0.5948
3.7750,1.7385
3.8250,2.6517
3.8750,2.8223
3.9250,2.3243
3.9750,1.7180
4.0250,1.2610
4.0750,0.9673
4.1250,0.7638
4.1750,0.5989
4.2250,0.4816
4.2750,0.4398
4.3250,0.3487
4.3750,0.3077
4.4250,0.2863
4.4750,0.2543
4.5250,0.2330
4.5750,0.2158
4.6250,0.1838
4.6750,0.1657
4.7250,0.1600
4.7750,0.1337
4.8250,0.1378
4.8750,0.1017
4.9250,0.0935
4.9750,0.0853
5.0250,0.0615
5.0750,0.0747
5.1250,0.0599
5.1750,0.0484
5.2250,0.0435
5.2750,0.0427
5.3250,0.0336
5.3750,0.0451
5.4250,0.0345
5.4750,0.0279
5.5250,0.0336
5.5750,0.0230
5.6250,0.0230
5.6750,0.0180
5.7250,0.0172
5.7750,0.0164
5.8250,0.0148
5.8750,0.0115
5.9250,0.0115
5.9750,0.0148
6.0250,0.0115
6.0750,0.0115
6.1250,0.0131
6.1750,0.0098
6.2250,0.0107
6.2750,0.0139
6.3250,0.0098
6.3750,0.0066
6.4250,0.0090
6.4750,0.0066
6.5250,0.0066
6.5750,0.0057
6.6250,0.0066
6.6750,0.0066
6.7250,0.0049
6.7750,0.0033
6.8250,0.0057
6.8750,0.0016
6.9250,0.0033
6.9750,0.0025
7.0250,0.0025
7.0750,0.0025
7.1250,0.0033
7.1750,0.0008
7.2250,0.0016
7.2750,0.0016
7.3250,0.0049
7.3750,0.0025
7.4250,0.0008
7.4750,0.0025
7.5250,0.0025
7.5750,0.0033
7.6250,0.0016
7.6750,0.0016
7.7250,0.0008
7.7750,0.0025
7.8250,0.0008
7.8750,0.0025
7.9250,0.0016
7.9750,0.0008
8.0250,0.0016
8.0750,0.0008
8.1250,0.0008
8.1750,0.0016
8.2250,0.0008
8.2750,0.0025
8.3250,0.0000
8.3750,0.0008
8.4250,0.0008
8.4750,0.0008
8.5250,0.0008
8.5750,0.0000
8.6250,0.0000
8.6750,0.0008
8.7250,0.0000
8.7750,0.0000
8.8250,0.0000
8.8750,0.0000
8.9250,0.0008
8.9750,0.0008
9.0250,0.0000
9.0750,0.0008
9.1250,0.0000
9.1750,0.0000
9.2250,0.0000
9.2750,0.0008
9.3250,0.0000
9.3750,0.0000
9.4250,0.0016
9.4750,0.0000
9.5250,0.0000
9.5750,0.0000
9.6250,0.0000
9.6750,0.0008
9.7250,0.0000
9.7750,0.0000
9.8250,0.0000
9.8750,0.0000
9.9250,0.0008
9.9750,0.0000
10.0250,0.0000
10.0750,0.0000
10.1250,0.0000
10.1750,0.0000
10.2250,0.0008
10.2750,0.0016
10.3250,0.0000
10.3750,0.0000
10.4250,0.0008
10.4750,0.0000
10.5250,0.0000
10.5750,0.0000
10.6250,0.0000
10.6750,0.0008
10.7250,0.0008
10.7750,0.0000
10.8250,0.0000
10.8750,0.0000
10.9250,0.0000
10.9750,0.0000
11.0250,0.0000
11.0750,0.0000
11.1250,0.0000
11.1750,0.0000
11.2250,0.0000
11.2750,0.0000
11.3250,0.0000
11.3750,0.0000
11.4250,0.0000
11.4750,0.0000
11.5250,0.0000
11.5750,0.0000
11.6250,0.0000
11.6750,0.0000
11.7250,0.0000
11.7750,0.0000
11.8250,0.0000
11.8750,0.0000
11.9250,0.0000
11.9750,0.0000
12.0250,0.0000
12.0750,0.0000
12.1250,0.0000
12.1750,0.0000
12.2250,0.0000
12.2750,0.0000
12.3250,0.0000
12.3750,0.0000
12.4250,0.0000
12.4750,0.0000
12.5250,0.0000
12.5750,0.0000
12.6250,0.0000
12.6750,0.0000
12.7250,0.0008
12.7750,0.0000
12.8250,0.0000
12.8750,0.0000
12.9250,0.0000
12.9750,0.0000
13.0250,0.0000
13.0750,0.0008
13.1250,0.0000
13.1750,0.0000
13.2250,0.0000
13.2750,0.0000
13.3250,0.0000
13.3750,0.0000
13.4250,0.0000
13.4750,0.0000
13.5250,0.0000
13.5750,0.0000
13.6250,0.0000
13.6750,0.0000
13.7250,0.0000
13.7750,0.0000
13.8250,0.0000
13.8750,0.0000
13.9250,0.0000
13.9750,0.0000
