p2dbin,histogram
3.5250,0.0000
3.5750,0.0000
3.6250,0.0000
3.6750,0.0241
3.7250,0.1000
3.7750,0.3638
3.8250,0.8733
3.8750,1.2600
3.9250,1.5865
3.9750,1.8611
4.0250,1.9201
4.0750,1.8214
4.1250,1.4973
4.1750,1.1950
4.2250,0.9998
4.2750,0.8384
4.3250,0.6914
4.3750,0.5674
4.4250,0.4963
4.4750,0.4228
4.5250,0.3927
4.5750,0.2999
4.6250,0.2494
4.6750,0.2494
4.7250,0.2481
4.7750,0.1530
4.8250,0.1795
4.8750,0.1650
4.9250,0.1409
4.9750,0.1253
5.0250,0.0988
5.0750,0.0783
5.1250,0.0783
5.1750,0.0795
5.2250,0.0638
5.2750,0.0518
5.3250,0.0675
5.3750,0.0446
5.4250,0.0578
5.4750,0.0361
5.5250,0.0506
5.5750,0.0482
5.6250,0.0337
5.6750,0.0325
5.7250,0.0373
5.7750,0.0241
5.8250,0.0289
5.8750,0.0241
5.9250,0.0241
5.9750,0.0120
6.0250,0.0205
6.0750,0.0253
6.1250,0.0157
6.1750,0.0133
6.2250,0.0120
6.2750,0.0145
6.3250,0.0120
6.3750,0.0096
6.4250,0.0084
6.4750,0.0060
6.5250,0.0072
6.5750,0.0096
6.6250,0.0060
6.6750,0.0084
6.7250,0.0084
6.7750,0.0036
6.8250,0.0072
6.8750,0.0084
6.9250,0.0072
6.9750,0.0060
7.0250,0.0072
7.0750,0.0048
7.1250,0.0048
7.1750,0.0012
7.2250,0.0024
7.2750,0.0012
7.3250,0.0048
7.3750,0.0012
7.4250,0.0012
7.4750,0.0000
7.5250,0.0048
7.5750,0.0048
7.6250,0.0024
7.6750,0.0036
7.7250,0.0024
7.7750,0.0024
7.8250,0.0024
7.8750,0.0012
7.9250,0.0024
7.9750,0.0012
8.0250,0.0024
8.0750,0.0036
8.1250,0.0012
8.1750,0.0036
8.2250,0.0000
8.2750,0.0012
8.3250,0.0000
8.3750,0.0012
8.4250,0.0024
8.4750,0.0012
8.5250,0.0012
8.5750,0.0000
8.6250,0.0012
8.6750,0.0000
8.7250,0.0012
8.7750,0.0000
8.8250,0.0000
8.8750,0.0012
8.9250,0.0000
8.9750,0.0012
9.0250,0.0012
9.0750,0.0012
9.1250,0.0024
9.1750,0.0000
9.2250,0.0000
9.2750,0.0000
9.3250,0.0012
9.3750,0.0012
9.4250,0.0012
9.4750,0.0012
9.5250,0.0000
9.5750,0.0000
9.6250,0.0000
9.6750,0.0012
9.7250,0.0012
9.7750,0.0012
9.8250,0.0000
9.8750,0.0000
9.9250,0.0012
9.9750,0.0000
10.0250,0.0000
10.0750,0.0000
10.1250,0.0000
10.1750,0.0000
10.2250,0.0000
10.2750,0.0000
10.3250,0.0000
10.3750,0.0000
10.4250,0.0000
10.4750,0.0000
10.5250,0.0000
10.5750,0.0000
10.6250,0.0000
10.6750,0.0000
10.7250,0.0000
10.7750,0.0000
10.8250,0.0000
10.8750,0.0012
10.9250,0.0000
10.9750,0.0000
11.0250,0.0000
11.0750,0.0000
11.1250,0.0000
11.1750,0.0000
11.2250,0.0000
11.2750,0.0000
11.3250,0.0000
11.3750,0.0000
11.4250,0.0000
11.4750,0.0000
11.5250,0.0000
11.5750,0.0000
11.6250,0.0000
11.6750,0.0000
11.7250,0.0000
11.7750,0.0000
11.8250,0.0000
11.8750,0.0000
11.9250,0.0000
11.9750,0.0000
12.0250,0.0000
12.0750,0.0000
12.1250,0.0000
12.1750,0.0000
12.2250,0.0000
12.2750,0.0000
12.3250,0.0000
12.3750,0.0000
12.4250,0.0000
12.4750,0.0000
12.5250,0.0000
12.5750,0.0000
12.6250,0.0000
12.6750,0.0000
12.7250,0.0000
12.7750,0.0000
12.8250,0.0000
12.8750,0.0000
12.9250,0.0000
12.9750,0.0000
13.0250,0.0000
13.0750,0.0000
13.1250,0.0012
13.1750,0.0000
13.2250,0.0000
13.2750,0.0000
13.3250,0.0000
13.3750,0.0000
13.4250,0.0000
13.4750,0.0000
13.5250,0.0000
13.5750,0.0000
13.6250,0.0000
13.6750,0.0000
13.7250,0.0000
13.7750,0.0000
13.8250,0.0000
13.8750,0.0000
13.9250,0.0000
13.9750,0.0000
