mbin, hist 
  0.0200,   1.5525 
  0.0600,   4.0685 
  0.1000,   4.7645 
  0.1400,   4.1221 
  0.1800,   2.5161 
  0.2200,   1.4454 
  0.2600,   0.3747 
  0.3000,   0.5889 
  0.3400,   0.5353 
  0.3800,   0.4818 
  0.4200,   0.8565 
  0.4600,   0.3747 
  0.5000,   0.2677 
  0.5400,   0.4283 
  0.5800,   0.3212 
  0.6200,   0.3212 
  0.6600,   0.2141 
  0.7000,   0.2677 
  0.7400,   0.4818 
  0.7800,   0.1606 
  0.8200,   0.3747 
  0.8600,   0.2141 
  0.9000,   0.1606 
  0.9400,   0.0000 
  0.9800,   0.1071 
