mbin, hist 
  0.0200,   0.1149 
  0.0600,   0.3339 
  0.1000,   0.5487 
  0.1400,   0.6785 
  0.1800,   0.8869 
  0.2200,   1.0762 
  0.2600,   1.3102 
  0.3000,   1.3251 
  0.3400,   1.5442 
  0.3800,   1.5995 
  0.4200,   1.6165 
  0.4600,   1.5165 
  0.5000,   1.5612 
  0.5400,   1.5569 
  0.5800,   1.5229 
  0.6200,   1.4399 
  0.6600,   1.2528 
  0.7000,   1.1060 
  0.7400,   0.8933 
  0.7800,   0.7997 
  0.8200,   0.6423 
  0.8600,   0.5509 
  0.9000,   0.4722 
  0.9400,   0.4020 
  0.9800,   0.2489 
