mbin, hist 
  3.5250,   0.0000 
  3.5750,   0.0000 
  3.6250,   0.0000 
  3.6750,   0.0478 
  3.7250,   0.1434 
  3.7750,   0.3956 
  3.8250,   0.8259 
  3.8750,   1.2302 
  3.9250,   1.5431 
  3.9750,   2.0343 
  4.0250,   1.8344 
  4.0750,   1.9126 
  4.1250,   1.6562 
  4.1750,   1.0693 
  4.2250,   1.0563 
  4.2750,   0.8520 
  4.3250,   0.7911 
  4.3750,   0.5955 
  4.4250,   0.5042 
  4.4750,   0.3912 
  4.5250,   0.3347 
  4.5750,   0.2695 
  4.6250,   0.3260 
  4.6750,   0.2217 
  4.7250,   0.2217 
  4.7750,   0.1304 
  4.8250,   0.1000 
  4.8750,   0.1087 
  4.9250,   0.0913 
  4.9750,   0.1087 
  5.0250,   0.0782 
  5.0750,   0.0652 
  5.1250,   0.0739 
  5.1750,   0.0652 
  5.2250,   0.0565 
  5.2750,   0.0739 
  5.3250,   0.0565 
  5.3750,   0.0609 
  5.4250,   0.0348 
  5.4750,   0.0565 
  5.5250,   0.0391 
  5.5750,   0.0435 
  5.6250,   0.0478 
  5.6750,   0.0304 
  5.7250,   0.0217 
  5.7750,   0.0087 
  5.8250,   0.0217 
  5.8750,   0.0174 
  5.9250,   0.0217 
  5.9750,   0.0217 
  6.0250,   0.0043 
  6.0750,   0.0130 
  6.1250,   0.0130 
  6.1750,   0.0043 
  6.2250,   0.0130 
  6.2750,   0.0174 
  6.3250,   0.0043 
  6.3750,   0.0130 
  6.4250,   0.0043 
  6.4750,   0.0087 
  6.5250,   0.0304 
  6.5750,   0.0087 
  6.6250,   0.0043 
  6.6750,   0.0174 
  6.7250,   0.0087 
  6.7750,   0.0043 
  6.8250,   0.0043 
  6.8750,   0.0043 
  6.9250,   0.0130 
  6.9750,   0.0087 
  7.0250,   0.0043 
  7.0750,   0.0043 
  7.1250,   0.0043 
  7.1750,   0.0000 
  7.2250,   0.0000 
  7.2750,   0.0000 
  7.3250,   0.0000 
  7.3750,   0.0000 
  7.4250,   0.0043 
  7.4750,   0.0043 
  7.5250,   0.0043 
  7.5750,   0.0000 
  7.6250,   0.0043 
  7.6750,   0.0000 
  7.7250,   0.0043 
  7.7750,   0.0087 
  7.8250,   0.0043 
  7.8750,   0.0087 
  7.9250,   0.0043 
  7.9750,   0.0043 
  8.0250,   0.0000 
  8.0750,   0.0043 
  8.1250,   0.0043 
  8.1750,   0.0000 
  8.2250,   0.0000 
  8.2750,   0.0000 
  8.3250,   0.0000 
  8.3750,   0.0043 
  8.4250,   0.0043 
  8.4750,   0.0000 
  8.5250,   0.0043 
  8.5750,   0.0000 
  8.6250,   0.0000 
  8.6750,   0.0000 
  8.7250,   0.0000 
  8.7750,   0.0000 
  8.8250,   0.0043 
  8.8750,   0.0000 
  8.9250,   0.0000 
  8.9750,   0.0000 
  9.0250,   0.0000 
  9.0750,   0.0000 
  9.1250,   0.0000 
  9.1750,   0.0000 
  9.2250,   0.0000 
  9.2750,   0.0000 
  9.3250,   0.0087 
  9.3750,   0.0000 
  9.4250,   0.0043 
  9.4750,   0.0000 
  9.5250,   0.0000 
  9.5750,   0.0000 
  9.6250,   0.0000 
  9.6750,   0.0000 
  9.7250,   0.0000 
  9.7750,   0.0000 
  9.8250,   0.0000 
  9.8750,   0.0000 
  9.9250,   0.0043 
  9.9750,   0.0000 
 10.0250,   0.0000 
 10.0750,   0.0000 
 10.1250,   0.0000 
 10.1750,   0.0000 
 10.2250,   0.0000 
 10.2750,   0.0000 
 10.3250,   0.0000 
 10.3750,   0.0000 
 10.4250,   0.0000 
 10.4750,   0.0000 
 10.5250,   0.0000 
 10.5750,   0.0000 
 10.6250,   0.0000 
 10.6750,   0.0000 
 10.7250,   0.0000 
 10.7750,   0.0000 
 10.8250,   0.0000 
 10.8750,   0.0000 
 10.9250,   0.0000 
 10.9750,   0.0000 
 11.0250,   0.0000 
 11.0750,   0.0000 
 11.1250,   0.0000 
 11.1750,   0.0000 
 11.2250,   0.0000 
 11.2750,   0.0000 
 11.3250,   0.0000 
 11.3750,   0.0000 
 11.4250,   0.0000 
 11.4750,   0.0000 
 11.5250,   0.0000 
 11.5750,   0.0000 
 11.6250,   0.0000 
 11.6750,   0.0000 
 11.7250,   0.0000 
 11.7750,   0.0000 
 11.8250,   0.0000 
 11.8750,   0.0000 
 11.9250,   0.0000 
 11.9750,   0.0000 
 12.0250,   0.0000 
 12.0750,   0.0000 
 12.1250,   0.0000 
 12.1750,   0.0000 
 12.2250,   0.0000 
 12.2750,   0.0000 
 12.3250,   0.0000 
 12.3750,   0.0000 
 12.4250,   0.0000 
 12.4750,   0.0000 
 12.5250,   0.0000 
 12.5750,   0.0000 
 12.6250,   0.0000 
 12.6750,   0.0000 
 12.7250,   0.0000 
 12.7750,   0.0000 
 12.8250,   0.0000 
 12.8750,   0.0000 
 12.9250,   0.0000 
 12.9750,   0.0000 
 13.0250,   0.0000 
 13.0750,   0.0000 
 13.1250,   0.0000 
 13.1750,   0.0000 
 13.2250,   0.0000 
 13.2750,   0.0000 
 13.3250,   0.0000 
 13.3750,   0.0000 
 13.4250,   0.0000 
 13.4750,   0.0000 
 13.5250,   0.0000 
 13.5750,   0.0000 
 13.6250,   0.0000 
 13.6750,   0.0000 
 13.7250,   0.0000 
 13.7750,   0.0000 
 13.8250,   0.0000 
 13.8750,   0.0000 
 13.9250,   0.0000 
 13.9750,   0.0000 
