p2dbin, hist 
  3.5250,   0.0000 
  3.5750,   0.0000 
  3.6250,   0.0000 
  3.6750,   0.0279 
  3.7250,   0.3221 
  3.7750,   1.0724 
  3.8250,   1.9779 
  3.8750,   2.3156 
  3.9250,   2.4915 
  3.9750,   2.0831 
  4.0250,   1.5950 
  4.0750,   1.2811 
  4.1250,   0.9277 
  4.1750,   0.7469 
  4.2250,   0.6220 
  4.2750,   0.4955 
  4.3250,   0.4166 
  4.3750,   0.3616 
  4.4250,   0.3262 
  4.4750,   0.2794 
  4.5250,   0.2564 
  4.5750,   0.2597 
  4.6250,   0.2227 
  4.6750,   0.2128 
  4.7250,   0.1545 
  4.7750,   0.1528 
  4.8250,   0.1372 
  4.8750,   0.1035 
  4.9250,   0.1027 
  4.9750,   0.0879 
  5.0250,   0.0748 
  5.0750,   0.0723 
  5.1250,   0.0674 
  5.1750,   0.0575 
  5.2250,   0.0551 
  5.2750,   0.0436 
  5.3250,   0.0468 
  5.3750,   0.0452 
  5.4250,   0.0362 
  5.4750,   0.0271 
  5.5250,   0.0247 
  5.5750,   0.0247 
  5.6250,   0.0238 
  5.6750,   0.0263 
  5.7250,   0.0247 
  5.7750,   0.0189 
  5.8250,   0.0173 
  5.8750,   0.0123 
  5.9250,   0.0156 
  5.9750,   0.0173 
  6.0250,   0.0123 
  6.0750,   0.0181 
  6.1250,   0.0230 
  6.1750,   0.0099 
  6.2250,   0.0082 
  6.2750,   0.0082 
  6.3250,   0.0066 
  6.3750,   0.0074 
  6.4250,   0.0099 
  6.4750,   0.0049 
  6.5250,   0.0049 
  6.5750,   0.0082 
  6.6250,   0.0041 
  6.6750,   0.0041 
  6.7250,   0.0049 
  6.7750,   0.0058 
  6.8250,   0.0041 
  6.8750,   0.0074 
  6.9250,   0.0025 
  6.9750,   0.0123 
  7.0250,   0.0025 
  7.0750,   0.0058 
  7.1250,   0.0025 
  7.1750,   0.0016 
  7.2250,   0.0041 
  7.2750,   0.0016 
  7.3250,   0.0025 
  7.3750,   0.0025 
  7.4250,   0.0016 
  7.4750,   0.0025 
  7.5250,   0.0016 
  7.5750,   0.0016 
  7.6250,   0.0008 
  7.6750,   0.0033 
  7.7250,   0.0025 
  7.7750,   0.0008 
  7.8250,   0.0000 
  7.8750,   0.0000 
  7.9250,   0.0016 
  7.9750,   0.0049 
  8.0250,   0.0008 
  8.0750,   0.0008 
  8.1250,   0.0000 
  8.1750,   0.0016 
  8.2250,   0.0000 
  8.2750,   0.0000 
  8.3250,   0.0025 
  8.3750,   0.0000 
  8.4250,   0.0000 
  8.4750,   0.0016 
  8.5250,   0.0000 
  8.5750,   0.0016 
  8.6250,   0.0000 
  8.6750,   0.0008 
  8.7250,   0.0008 
  8.7750,   0.0000 
  8.8250,   0.0008 
  8.8750,   0.0000 
  8.9250,   0.0000 
  8.9750,   0.0000 
  9.0250,   0.0008 
  9.0750,   0.0008 
  9.1250,   0.0000 
  9.1750,   0.0000 
  9.2250,   0.0000 
  9.2750,   0.0008 
  9.3250,   0.0000 
  9.3750,   0.0008 
  9.4250,   0.0008 
  9.4750,   0.0000 
  9.5250,   0.0000 
  9.5750,   0.0008 
  9.6250,   0.0008 
  9.6750,   0.0000 
  9.7250,   0.0000 
  9.7750,   0.0008 
  9.8250,   0.0000 
  9.8750,   0.0000 
  9.9250,   0.0008 
  9.9750,   0.0000 
 10.0250,   0.0000 
 10.0750,   0.0000 
 10.1250,   0.0016 
 10.1750,   0.0000 
 10.2250,   0.0000 
 10.2750,   0.0000 
 10.3250,   0.0000 
 10.3750,   0.0000 
 10.4250,   0.0000 
 10.4750,   0.0008 
 10.5250,   0.0000 
 10.5750,   0.0008 
 10.6250,   0.0000 
 10.6750,   0.0016 
 10.7250,   0.0000 
 10.7750,   0.0000 
 10.8250,   0.0000 
 10.8750,   0.0000 
 10.9250,   0.0000 
 10.9750,   0.0000 
 11.0250,   0.0000 
 11.0750,   0.0000 
 11.1250,   0.0000 
 11.1750,   0.0000 
 11.2250,   0.0000 
 11.2750,   0.0000 
 11.3250,   0.0000 
 11.3750,   0.0000 
 11.4250,   0.0000 
 11.4750,   0.0000 
 11.5250,   0.0000 
 11.5750,   0.0000 
 11.6250,   0.0000 
 11.6750,   0.0000 
 11.7250,   0.0000 
 11.7750,   0.0000 
 11.8250,   0.0000 
 11.8750,   0.0000 
 11.9250,   0.0000 
 11.9750,   0.0000 
 12.0250,   0.0000 
 12.0750,   0.0000 
 12.1250,   0.0008 
 12.1750,   0.0000 
 12.2250,   0.0000 
 12.2750,   0.0000 
 12.3250,   0.0000 
 12.3750,   0.0000 
 12.4250,   0.0000 
 12.4750,   0.0000 
 12.5250,   0.0000 
 12.5750,   0.0000 
 12.6250,   0.0000 
 12.6750,   0.0000 
 12.7250,   0.0000 
 12.7750,   0.0000 
 12.8250,   0.0000 
 12.8750,   0.0000 
 12.9250,   0.0000 
 12.9750,   0.0000 
 13.0250,   0.0000 
 13.0750,   0.0000 
 13.1250,   0.0000 
 13.1750,   0.0000 
 13.2250,   0.0000 
 13.2750,   0.0000 
 13.3250,   0.0000 
 13.3750,   0.0000 
 13.4250,   0.0000 
 13.4750,   0.0000 
 13.5250,   0.0000 
 13.5750,   0.0000 
 13.6250,   0.0000 
 13.6750,   0.0000 
 13.7250,   0.0000 
 13.7750,   0.0000 
 13.8250,   0.0000 
 13.8750,   0.0000 
 13.9250,   0.0000 
 13.9750,   0.0000 
